arrival_time,market_id_in_subsession,e_best_bid,e_best_offer,e_signed_volume
42.141999999999996,1,910000,920000,0
42.162,1,910000,920000,0
42.396,1,910000,920000,0
42.55,1,910000,920000,0
42.739,1,910000,920000,0
42.933,1,910000,920000,0
43.282,1,920000,920000,0
43.611999999999995,1,920000,920000,0
44.211999999999996,1,920000,930000,0
44.262,1,910000,930000,0
44.486999999999995,1,910000,930000,0
44.641999999999996,1,910000,930000,0
44.81399999999999,1,910000,930000,0
44.816,1,920000,930000,0
44.917,1,910000,930000,0
45.078,1,920000,930000,0
45.16,1,920000,920000,0
45.227,1,920000,920000,0
45.238,1,920000,920000,0
45.317,1,920000,920000,0
45.397,1,920000,920000,0
45.423,1,920000,920000,0
45.434,1,920000,920000,0
45.461999999999996,1,920000,920000,0
45.501000000000005,1,920000,920000,0
46.104,1,920000,920000,0
46.251999999999995,1,920000,920000,0
46.262,1,920000,920000,0
46.526,1,920000,920000,0
46.583,1,920000,930000,0
46.769,1,930000,930000,0
46.773,1,920000,930000,0
47.306999999999995,1,920000,920000,0
47.54,1,920000,920000,0
47.69,1,920000,920000,0
47.818999999999996,1,920000,920000,0
47.975,1,920000,930000,0
48.016999999999996,1,920000,930000,0
48.028999999999996,1,920000,930000,0
48.093,1,920000,930000,0
48.196999999999996,1,920000,930000,0
48.263999999999996,1,910000,930000,0
48.29,1,910000,930000,0
48.463,1,910000,920000,0
48.576,1,910000,920000,0
49.346000000000004,1,910000,910000,0
49.846000000000004,1,910000,920000,0
50.043,1,910000,920000,0
50.214,1,910000,910000,0
50.24100000000001,1,910000,920000,0
50.288000000000004,1,910000,920000,0
50.342,1,910000,920000,0
50.422,1,910000,910000,0
50.474,1,910000,910000,0
50.716,1,910000,910000,0
51.138000000000005,1,910000,910000,0
51.282,1,910000,910000,0
51.407,1,910000,920000,0
51.5,1,910000,920000,0
51.526,1,910000,920000,0
51.578,1,910000,920000,0
51.626999999999995,1,910000,920000,0
51.681999999999995,1,910000,930000,0
